id,organization_id,first_name,last_name,email,phone,role,volunteer_type,organization_name,notes,photo_url,active,created_at,updated_at,user_id,roles,address,max_capacity,preferred_species
459fdd78-3fe1-4e4e-b280-af9c0078d60d,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Penelope,Clark,penelope.clark@outlook.com,224-410-0617,volunteer,,,Volunteer drives the south route on Saturdays.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{social_media},,,
73090d8e-983e-4535-8dbd-db8234484b13,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Leo,Griffin,leo.griffin@yahoo.com,737-747-9278,volunteer,,,"Small apartment, prefers cats or small dogs. Quiet building.",,false,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{foster_parent},"4368 Aurora Ave, Seattle, WA 98115",2,{Cat}
47b42d85-d21e-4e90-aa6f-94569852ba4b,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Emerson,Butler,emerson.butler@icloud.com,866-749-9940,volunteer,,,,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{social_media},,,
79d221f9-2db5-4339-a929-a75534a0e353,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Violet,Murray,violet.murray@gmail.com,510-303-8637,volunteer,,,"Available weekdays, prefers short-term placements.",,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,"{foster_parent,event_support}","7400 3rd Ave, Federal Way, WA 98003",10,{Cat}
560738fe-92fd-492b-8f4a-656f6baf6656,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Madison,Baker,madison.baker@gmail.com,458-591-6108,volunteer,,,Adoption event lead.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,"{trapper,social_media}","3321 Hawthorne Pl, Seattle, WA 98144",,
1f500a93-357b-41b6-a9cf-7027de86d7e4,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Parker,Sullivan,parker.sullivan@yahoo.com,315-688-8075,vet,,Greenwood Veterinary,Helps with intake paperwork on clinic days.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{vet},,,
2b81adc2-fdd0-41d6-9a99-5972e0ae59f0,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Zoey,Rodriguez,zoey.rodriguez@gmail.com,460-867-1515,volunteer,,,Helps with intake paperwork on clinic days.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{social_media},"6511 7th Ave, Shoreline, WA 98155",,
45230c4a-7091-47cb-8832-aa847178756c,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Luke,Coleman,luke.coleman@gmail.com,443-316-5045,volunteer,,,Manages the org Instagram + Facebook.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{admin},,,
11de6e80-19d2-4e5e-bab3-9018f7c0a9cb,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Alex,Thompson,alex.thompson@icloud.com,835-616-1768,volunteer,,,Primary contact for low-cost spay/neuter clinic referrals.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{trapper},"2701 5th Ave, Bothell, WA 98011",,
d58934f1-f344-44dc-afaf-91cf4f7ec08c,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Owen,Gomez,owen.gomez@gmail.com,637-631-9669,volunteer,,,,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{trapper},,,
e1695688-d69e-4eb1-a649-f67c46a1c5bd,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Jackson,Tran,jackson.tran@yahoo.com,346-868-9025,volunteer,,,Adoption event lead.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{social_media},"5049 California Ave, Bothell, WA 98011",,
2a181f60-d4d6-4e15-8845-b345dba0e8e3,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Eleanor,Cox,eleanor.cox@gmail.com,278-695-2398,volunteer,,,TNR specialist — knows the colonies in South Park.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{event_support},,,
c8b0eb1d-0f08-473d-bafd-94d757a608bc,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Leo,Ruiz,leo.ruiz@gmail.com,496-361-7854,vet,,Madison Park Animal Hospital,Volunteer drives the south route on Saturdays.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{vet},,,
258dac34-c53d-42a8-9a8e-34ec85be0cf5,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Leo,McDonald,leo.mcdonald@gmail.com,424-237-3262,volunteer,,,,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{social_media},,,
8130da16-22fe-4678-829e-7cac28fad458,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Carter,Ramirez,carter.ramirez@protonmail.com,609-802-4459,volunteer,,,TNR specialist — knows the colonies in South Park.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{admin},,,
0aaa10e6-c3a8-4f0d-968c-7b8379739304,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Joseph,Nguyen,joseph.nguyen@outlook.com,202-745-1832,volunteer,,,"Available weekdays, prefers short-term placements.",,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{foster_parent},"9318 Willow Way, Everett, WA 98201",10,"{Dog,Other}"
98f2d57a-02e9-4f84-bcae-8e9cdaaafbfa,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Hannah,Jackson,hannah.jackson@hotmail.com,,volunteer,,,,,false,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{transport},,,
c653d774-eca7-4027-9fb9-0c233d9e5fa2,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Leo,Tran,leo.tran@protonmail.com,,vet,,Evergreen Pet Clinic,"Long-time volunteer, has fostered 30+ animals over 5 years.",,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,"{foster_parent,event_support,vet}","258 6th Ave, Federal Way, WA 98003",3,"{Other,Dog}"
fe2c9813-a4cb-4f98-9564-962bf92eadb5,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Benjamin,Cooper,benjamin.cooper@outlook.com,631-697-8960,volunteer,,,"New foster, completed orientation last month.",,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{foster_parent},"697 Elm St, Burien, WA 98146",1,{Cat}
5832bea7-0ca0-46d9-946a-9669973122b5,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Alex,Stewart,alex.stewart@hotmail.com,422-929-9433,volunteer,,,"No other pets, focused on socializing fearful animals.",,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{foster_parent},"3448 5th Ave, Shoreline, WA 98155",9,"{Cat,Other,Dog}"
fb81f905-a69a-4d40-b639-f24e83633749,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Skyler,Thompson,skyler.thompson@yahoo.com,,volunteer,,,Donor relations — handles in-kind donations.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{admin},,,
8ae396da-71a1-4496-a9a0-682c01b56153,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Sophia,Stevens,sophia.stevens@protonmail.com,298-712-2811,volunteer,,,Two-story house with a fully fenced yard. Comfortable with medium-large dogs.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{foster_parent},"7027 Spruce Way, Bothell, WA 98011",3,{Cat}
3358e2db-f377-4ca9-9cc0-f0676029e692,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Luke,Wallace,luke.wallace@gmail.com,227-877-0949,volunteer,,,"Family with kids 8+, great with friendly animals.",,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{foster_parent},"6021 Holman Rd, Tacoma, WA 98402",7,"{Other,Cat}"
70535f56-a5df-413d-967e-84ba9268ff38,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Jackson,Bell,jackson.bell@outlook.com,233-322-0483,volunteer,,,"Small apartment, prefers cats or small dogs. Quiet building.",,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{foster_parent},"7680 Sunset Blvd, Kent, WA 98030",4,"{Other,Dog,Cat}"
d8601ef2-0bc0-4310-9ee0-30d738f8736a,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Isabella,Flores,isabella.flores@gmail.com,511-241-3828,vet,,Puget Sound Veterinary,TNR specialist — knows the colonies in South Park.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{vet},,,
caf9dae3-3eb4-42d2-b600-d7e8ee392202,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Jordan,Lewis,jordan.lewis@protonmail.com,,rescue_staff,,,Donor relations — handles in-kind donations.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,"{rescue_staff,admin}",,,
865e1346-e6fd-4e34-88cf-0aed56f3f3c4,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Avery,Bryant,avery.bryant@gmail.com,484-423-0689,vet,,Ballard Animal Hospital,Adoption event lead.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{vet},,,
396c1af0-323b-4b9b-8e6d-675a6db9149f,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,Sofia,Morales,sofia.morales@hotmail.com,712-893-8546,volunteer,,,TNR specialist — knows the colonies in South Park.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,"{social_media,event_support}","4643 4th Ave, Renton, WA 98055",,
187fdd45-7ecc-48b9-9af5-0ff2bd754b44,ba7403e4-d70b-4fcf-9b3e-5a1c0d821032,David,Marshall,david.marshall@icloud.com,413-363-0296,volunteer,,,Available for hospice fostering when needed.,,true,2026-05-24T06:09:13.060Z,2026-05-24T06:09:13.060Z,,{foster_parent},"2647 Oak Ave, Kirkland, WA 98033",1,"{Cat,Dog,Other}"
